DOCTOR_NO,DEPARTMENT_NAME
1.20E+12,Vascular Surgery
1.20E+12,Dental and Maxillofacial Center
131,Plastic & Aesthetic Surgery
117,Obstetrics and Gynaecology
129,Obstetrics and Gynaecology
124,ENT & Head-Neck Surgery
1.20E+12,Dental and Maxillofacial Center
1.20E+12,ENT & Head-Neck Surgery
233,Cardiac Surgery
2361,Urology
104,Obstetrics and Gynaecology
116,Internal Medicine
1772,Orthopedics
2683,Rheumatology
100,Colorectal Surgery
205,Obstetrics and Gynaecology
141,Cardiology
113,Obstetrics and Gynaecology
3387,Surgical Oncology
146,Pediatrics & Neonatology
250,Urology
156,Pediatrics Surgery
187,Pediatrics & Neonatology
185,Pediatrics & Neonatology
126,Cardiology
121,ENT & Head-Neck Surgery
1140,Urology
1.20E+12,Pediatrics & Neonatology
286,Cardiology
127,Obstetrics and Gynaecology
179,Oncology
151,Dermatology
105,Vascular Surgery
172,Respiratory Medicine
237,Colorectal Surgery
246,GHPD
125,Dermatology
165,Nephrology
132,Respiratory Medicine
230,GHPD
240,Nephrology
139,Obstetrics and Gynaecology
174,Haematology
135,Cardiology
128,Obstetrics and Gynaecology
227,Internal Medicine
111,Internal Medicine
245,Oncology
153,Neurology
1.20E+12,Endocrinology
137,Pediatrics & Neonatology
228,General Surgery
101,Oncology
112,Neurology
766,Neurology
